Keywords	Date and Time	Source	Event ID	Task Category
Audit Success	08-04-2026 08:42:49	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		LAPTOP-FMKOV5NT\csp.Bharat
	Account Name:		csp.Bharat
	Account Domain:		LAPTOP-FMKOV5NT
	Logon ID:		0x4C6A9

User:
	Security ID:		LAPTOP-FMKOV5NT\csp.Bharat
	Account Name:		csp.Bharat
	Account Domain:		LAPTOP-FMKOV5NT

Process Information:
	Process ID:		0x62f8
	Process Name:		C:\Windows\System32\mmc.exe"
Audit Success	08-04-2026 08:42:19	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		LAPTOP-FMKOV5NT\csp.Bharat
	Account Name:		csp.Bharat
	Account Domain:		LAPTOP-FMKOV5NT
	Logon ID:		0x4C6A9

User:
	Security ID:		LAPTOP-FMKOV5NT\csp.Bharat
	Account Name:		csp.Bharat
	Account Domain:		LAPTOP-FMKOV5NT

Process Information:
	Process ID:		0x62f8
	Process Name:		C:\Windows\System32\mmc.exe"
Audit Success	08-04-2026 08:42:09	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A user's local group membership was enumerated.

Subject:
	Security ID:		LAPTOP-FMKOV5NT\csp.Bharat
	Account Name:		csp.Bharat
	Account Domain:		LAPTOP-FMKOV5NT
	Logon ID:		0x4C6A9

User:
	Security ID:		LAPTOP-FMKOV5NT\csp.Bharat
	Account Name:		csp.Bharat
	Account Domain:		LAPTOP-FMKOV5NT

Process Information:
	Process ID:		0x62f8
	Process Name:		C:\Windows\System32\mmc.exe"
Audit Success	08-04-2026 08:41:43	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Special privileges assigned to new logon.

Subject:
	Security ID:		SYSTEM
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Audit Success	08-04-2026 08:41:43	Microsoft-Windows-Security-Auditing	4624	Logon	"An account was successfully logged on.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-FMKOV5NT$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		5
	Restricted Admin Mode:	-
	Remote Credential Guard:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SYSTEM
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x500
	Process Name:		C:\Windows\System32\services.exe

Network Information:
	Workstation Name:	-
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Audit Success	08-04-2026 08:41:30	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-FMKOV5NT$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	08-04-2026 08:41:30	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-FMKOV5NT$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	08-04-2026 08:41:30	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-FMKOV5NT$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	08-04-2026 08:41:30	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-FMKOV5NT$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success	08-04-2026 08:41:30	Microsoft-Windows-Security-Auditing	5379	User Account Management	"Credential Manager credentials were read.

Subject:
	Security ID:		SYSTEM
	Account Name:		LAPTOP-FMKOV5NT$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
